category,entity,attribute,value,unit,value_min,value_max,error,error_unit,method,mineral_phase,sample_id,context_snippet,page,block_id,confidence,provenance_id,pdf_page_hint,section_title,local_citations,provenance_note
geochronology,,age,2089.0,,,,7.0,Ma,,,,2089 ± 7 Ma (MSWD = 0.47) and a Tera-Wasserburg U-Pb Discordia date of 2092 ± 13,215,215-31,0.9,215:215-31,#page=215,A quartz-monzonite sample was collected from  outcrop 11 km south of the Sadiola Hill,,"thesis page 215, block 215-31"
geochronology,,age,2071.0,,,,5.0,Ma,,,,the 2071 ± 5 Ma and 2066 ± 8 Ma magmatic,234,234-7,0.9,234:234-7,#page=234,geological development,Kouamelan 1996,"thesis page 234, block 234-7"
geochronology,,age,2063.0,,,,9.0,Ma,,,,correlated with the 2063 ± 9 Ma minor gold phase reported in the Damang area,234,234-21,0.9,234:234-21,#page=234,geological development,Kouamelan 1996,"thesis page 234, block 234-21"
geochronology,,age,,Ma,2160.0,2160.0,16.0,Ma,,,,"dated between 2160 ± 16 Ma (Boher et al., 199 2; Sm-Nd on whole rock andesite) and",42,42-18,0.8,42:42-18,#page=42,unconformably overlain by flat-lying Neoprot erozoic sandstones of the Taoudeni,Villeneuve 2008; Bessoles 1977; Bassot 1997,"thesis page 42, block 42-18"
geochronology,,age,,Ma,2115.0,2060.0,,,,,,"Eburnean orogeny dated between 2115 and 2060 Ma (e.g., Feybesse et al., 2006;",19,19-23,0.8,19:19-23,#page=19,Chapter I. Introduction,,"thesis page 19, block 19-23"
lithology,,modal volume,,%,5.0,10.0,,,,,,"10 % modal vol.) and euhedral prismatic feldspar phenocrysts (5-10 % modal vol.,",51,51-30,0.8,51:51-30,#page=51,Numerous syn-tectonic gran itoids have intruded the sedimentary rocks of the,,"thesis page 51, block 51-30"
lithology,,modal volume,,%,5.0,10.0,,,,,,"Magmatic green hornblende is common (5-10 % modal vol.), whereas quartz remains a",51,51-13,0.8,51:51-13,#page=51,Numerous syn-tectonic gran itoids have intruded the sedimentary rocks of the,,"thesis page 51, block 51-13"
geochronology,,age,,Ma,2080.0,2060.0,,,,,,"2080-2060 Ma peraluminous high-K granites (e.g., biotite-",189,189-29,0.8,189:189-29,#page=189,Chapter V. The tectono-magmatic evolution of the,,"thesis page 189, block 189-29"
assay,,grade,,,10.0,,,,,,,"grade (<10 g/t) and high-tonnage As-rich su lfide stage, followed  by a high-grade (>10",47,47-28,0.8,47:47-28,#page=47,arsenopyrite geothermometry can be used to estimate the temperature of mineralization,Treloar et al. 2014,"thesis page 47, block 47-28"
tectonism_event,,temperature,,°C,300.0,475.0,,,,,,"paragenesis are compatible with mesozona l Au-As-Te (6-12 km, 300°-475°C) to near-",77,77-12,0.8,77:77-12,#page=77,The Sadiola Hill deposit shares a number  of characteristics typical of orogenic,,"thesis page 77, block 77-12"
geochemistry,,Au,0.15,ppm,,,,,,,,(mean of 0.15 ppm). The sub-microscopic gold  is heterogeneously distributed within,66,66-33,0.8,66:66-33,#page=66,Ore minerals are texturally associated with silicate minerals precipitated during,,"thesis page 66, block 66-33"
mineralisation,,pyrrhotite,,%,,3.0,,,,,,Up to 3% pyrrhotite and arsenopy rite crystals are aligned parallel to the shear,61,61-2,0.8,61:61-2,#page=61,locally strongly developed within the Sadiola Fracture Zone and to a lesser extent along,,"thesis page 61, block 61-2"
tectonism_event,,age,,Ma,2090.0,2070.0,,,,,,transcurrent tectonics (D 3) that is coeval with local intrusion of ca. 2090 to 2070 Ma,71,71-30,0.8,71:71-30,#page=71,7. Discussion,,"thesis page 71, block 71-30"
tectonism_event,,temperature,,°C,150.0,300.0,,,,,,"epizonal Au-Sb ( ≤6 km, 150°-300°C) conditions in term s of crustal level based on the",77,77-13,0.8,77:77-13,#page=77,The Sadiola Hill deposit shares a number  of characteristics typical of orogenic,,"thesis page 77, block 77-13"
geochemistry,,temperature,360.0,°C,,,,,,,,"formation of the gold + aurostibite mineral assemblage is 360°C (Hansen and Anderko,",75,75-8,0.8,75:75-8,#page=75,aurostibite formation are from weakly acidi c to alkaline conditions and a low sulfur,Nekrasov 1996,"thesis page 75, block 75-8"
mineralisation,,sulfides,,%,0.5,3.0,,,,,,"0.5-3 % sulfides. On the basis of diamond co re logging, fabrics displaying a greater",58,58-7,0.8,58:58-7,#page=58,Mineralization may be associated with sulf ides aligned along the shear fabric in,,"thesis page 58, block 58-7"
lithology,,modal volume,,%,80.0,90.0,,,,,,mm) equant quartzo-feldspathic groundmass (80-90 % modal volume).  The dikes are,51,51-32,0.8,51:51-32,#page=51,Numerous syn-tectonic gran itoids have intruded the sedimentary rocks of the,,"thesis page 51, block 51-32"
geochronology,,age,561.3,,,,,,,,,"with chips of U/Pb zircon standard M257 (561.3 Ma, 840 ppm U; Na sdala et al., 2008)",201,201-13,0.8,201:201-13,#page=201,Focused U-Pb geochronology data was collected from selected igneous rock,,"thesis page 201, block 201-13"
geochronology,,age,1500.0,,,,,,,,,"swarms recorded in eastern Senegal and dated at 1500 Ma, 1300 Ma and 1150 Ma",199,199-24,0.8,199:199-24,#page=199,Regional peak metamorphism occurre d under regional greenschist-facies,Perrouty et al. 2012,"thesis page 199, block 199-24"
assay,,grade,,,10.0,,,,,,,high-grade (>10 g/t) and low-tonnage Au-Sb stage. Approxi matively 75-90 % of the first stage gold is,47,47-29,0.8,47:47-29,#page=47,arsenopyrite geothermometry can be used to estimate the temperature of mineralization,Treloar et al. 2014,"thesis page 47, block 47-29"
geochronology,,age,,Ma,2150.0,2080.0,,,,,,"2150-2080 Ma calc-alkaline metaluminous plutons (e.g., diorite, hornblende-",189,189-27,0.8,189:189-27,#page=189,Chapter V. The tectono-magmatic evolution of the,,"thesis page 189, block 189-27"
geochronology,,age,,Ma,2156.0,2125.0,10.0,Ma,,,,Detrital zircons in the Loulo area have been dated between 2156 ± 10 Ma,43,43-11,0.8,43:43-11,#page=43,,Lawrence et al. 2013a,"thesis page 43, block 43-11"
geochronology,,age,,Ma,2125.0,,8.0,Ma,,,,"and 2125 ± 8 Ma (Calvez et al., 1990; Pb -Pb zircon). The peraluminous Gamaye",43,43-12,0.8,43:43-12,#page=43,,Lawrence et al. 2013a,"thesis page 43, block 43-12"
geochronology,,age,2050.0,,,,,,,,,2050 Ma) dextral reactivation described by Dabo and Aïfa (2011) in the Falémé region.,175,175-8,0.8,175:175-8,#page=175,D3y documented at Yatela relate to the evolution of a regional system accommodating,,"thesis page 175, block 175-8"
geochronology,,age,559.0,,,,,,,,,"or BR266 (559 Ma, 903 ppm U; Stern, 2001), crystals of reference zircons OGC1 (3465",201,201-14,0.8,201:201-14,#page=201,Focused U-Pb geochronology data was collected from selected igneous rock,,"thesis page 201, block 201-14"
geochronology,,age,2100.0,,,,,,,,,Regional peak metamorphism was dated at ca. 2100 Ma in the Ashanti belt,234,234-23,0.8,234:234-23,#page=234,geological development,Kouamelan 1996,"thesis page 234, block 234-23"
geochronology,,age,,Ma,2080.0,2060.0,,,,,,peraluminous monzogranites (ca. 2080-2060 Ma ) is similar to that reported for,247,247-25,0.8,247:247-25,#page=247,Mali Shear Zone is an anastomosing fault netw ork that is interpreted to have formed,,"thesis page 247, block 247-25"
geochemistry,,(La/Yb) N ratio,,,3.9,52.3,,,,,,"enrichment over the HREE, with (La/Yb) N ratios ranging from 3.9 to 52.3 (average of",224,224-8,0.8,224:224-8,#page=224,normalised to Primitive mantle show pattern s enriched in highly incompatible trace,,"thesis page 224, block 224-8"
geochronology,,age,,Ma,2000.0,2200.0,,,,,,"for blueschist metamorphism in the ca. 2200- 2000 Ma rocks of West Africa, suggesting",232,232-9,0.8,232:232-9,#page=232,in the Sadiola-Yatela region was probably re lated to the fractionation of hydrous melts,,"thesis page 232, block 232-9"
geochronology,,age,,,2070.0,2030.0,,,,,,Metamorphic age patterns in the KKI extend from ca. 2070 to 2030,234,234-26,0.8,234:234-26,#page=234,geological development,Kouamelan 1996,"thesis page 234, block 234-26"
geochronology,,age,2100.0,,,,,,,,,ca. 2100 Ma volcanic ages have,234,234-5,0.8,234:234-5,#page=234,geological development,Kouamelan 1996,"thesis page 234, block 234-5"
geochemistry,,accessory mineral,,%,,2.0,,,,,,accessory mineral (up to 2%). Tourmaline is observed in quartz-calcite-biotite veins and,64,64-2,0.7,64:64-2,#page=64,veins display a chemical zoning pattern that features a core-to-rim decrease in Al and,,"thesis page 64, block 64-2"
geochronology,,age,14.0,Ma,,,,,,,,"14 Ma (McFarlane et al., 2011: U-Pb on hydrot hermal titanite). The structural evolution",72,72-7,0.7,72:72-7,#page=72,and southern Ghana suggests that gold minera lization within the Birimian terranes of,Lawrence et al. 2013a,"thesis page 72, block 72-7"
